"state","district","lat","lon","total_assault","total_property","total_crimes"
"Selangor","Hulu Selangor",3.5654045,101.6604475,848,2887,3735
"Selangor","Kajang",3.1302016,101.8296943,4399,14851,19250
"Selangor","Klang",3.0451705,101.4434953,6055,16285,22340
"Selangor","Kuala Langat",2.8369394,101.4877279,1141,3243,4384
"Selangor","Kuala Selangor",3.4066296,101.219629733333,771,2893,3664
"Selangor","Petaling Jaya",3.13167931578947,101.552986447368,5517,17561,23078
"Selangor","Sabak Bernam",3.71841825,101.019434375,400,1853,2253
"Selangor","Sepang",2.7590115625,101.7193085,1279,4517,5796
"Selangor","Serdang",3.1302016,101.8296943,2538,10165,12703
"Selangor","Sg. Buloh",3.13167931578947,101.552986447368,1144,4402,5546
"Selangor","Shah Alam",3.13167931578947,101.552986447368,1456,7863,9319
"Selangor","Subang Jaya",3.13167931578947,101.552986447368,1960,7439,9399
"Selangor","Sungai Buloh",3.13167931578947,101.552986447368,379,1547,1926
"Terengganu","Besut",5.655619625,102.591298125,489,2444,2933
"Terengganu","Dungun",4.76274425,103.36871525,293,1771,2064
"Terengganu","Hulu Terengganu",5.124344125,102.95518075,166,769,935
"Terengganu","Kemaman",4.247608625,103.35097175,367,2244,2611
"Terengganu","Kuala Terengganu",5.295762125,103.088306375,669,3955,4624
"Terengganu","Marang",5.122409875,103.22330525,223,953,1176
"Terengganu","Setiu",5.506164375,102.7738095,110,531,641
